user_id,event_name,event_timestamp,device_type,traffic_source,location,cart_value,discount_pct,page_load_seconds
1859,visit,2025-01-01 00:10:00,mobile,paid_social,IN,78.62,6.883654777938873,3.32
1859,signup,2025-01-01 00:25:00,mobile,paid_social,IN,78.62,6.883654777938873,3.32
9760,visit,2025-01-01 00:29:00,desktop,organic_search,IN,56.26,11.15680493930535,2.94
9760,signup,2025-01-01 00:33:00,desktop,organic_search,IN,56.26,11.15680493930535,2.94
3305,visit,2025-01-01 01:14:00,mobile,organic_search,IN,106.25,15.985290250689932,0.87
5607,visit,2025-01-01 01:17:00,mobile,email,UK,82.88,18.32647040216555,1.85
3305,signup,2025-01-01 01:25:00,mobile,organic_search,IN,106.25,15.985290250689932,0.87
3305,add_to_cart,2025-01-01 02:02:00,mobile,organic_search,IN,106.25,15.985290250689932,0.87
6748,visit,2025-01-01 02:31:00,desktop,organic_search,IN,43.43,6.402555018011748,3.72
6748,signup,2025-01-01 02:47:00,desktop,organic_search,IN,43.43,6.402555018011748,3.72
974,visit,2025-01-01 02:50:00,desktop,email,IN,86.6,10.120101413101033,3.44
4713,visit,2025-01-01 03:26:00,mobile,direct,SG,87.16,4.636456915582933,1.97
4713,signup,2025-01-01 03:31:00,mobile,direct,SG,87.16,4.636456915582933,1.97
4713,add_to_cart,2025-01-01 03:40:00,mobile,direct,SG,87.16,4.636456915582933,1.97
2419,visit,2025-01-01 04:05:00,tablet,organic_search,SG,91.63,15.52298486064675,1.67
4713,purchase,2025-01-01 04:06:00,mobile,direct,SG,87.16,4.636456915582933,1.97
4713,begin_checkout,2025-01-01 04:08:00,mobile,direct,SG,87.16,4.636456915582933,1.97
9511,visit,2025-01-01 04:16:00,mobile,paid_social,AE,85.01,14.888834027163572,2.52
2860,visit,2025-01-01 04:52:00,desktop,email,US,80.68,9.402962433709726,2.57
1555,visit,2025-01-01 05:40:00,mobile,organic_search,IN,77.96,11.353258712623122,2.6
5945,visit,2025-01-01 05:58:00,tablet,email,IN,83.17,17.860567905332314,2.01
1555,signup,2025-01-01 06:03:00,mobile,organic_search,IN,77.96,11.353258712623122,2.6
5945,signup,2025-01-01 06:08:00,tablet,email,IN,83.17,17.860567905332314,2.01
9255,visit,2025-01-01 06:44:00,mobile,paid_social,UK,116.67,3.3305047060185036,1.45
9255,signup,2025-01-01 06:48:00,mobile,paid_social,UK,116.67,3.3305047060185036,1.45
4357,visit,2025-01-01 07:08:00,mobile,paid_social,IN,108.01,17.95870271149968,2.84
7860,visit,2025-01-01 09:53:00,mobile,organic_search,UK,74.64,20.276018383547495,2.66
7860,signup,2025-01-01 09:58:00,mobile,organic_search,UK,74.64,20.276018383547495,2.66
2643,visit,2025-01-01 09:59:00,tablet,email,US,102.12,4.379917556982823,3.86
7192,visit,2025-01-01 10:49:00,desktop,email,AE,92.22,5.190666677147389,2.85
112,visit,2025-01-01 10:55:00,mobile,direct,AE,73.66,19.47511301788979,3.34
679,visit,2025-01-01 11:17:00,mobile,organic_search,UK,59.19,14.456964039733322,2.73
679,signup,2025-01-01 11:18:00,mobile,organic_search,UK,59.19,14.456964039733322,2.73
1654,visit,2025-01-01 11:59:00,desktop,organic_search,AE,100.33,23.018328147011555,4.94
8095,visit,2025-01-01 12:25:00,desktop,paid_social,SG,54.29,11.630439665333016,1.36
4610,visit,2025-01-01 13:57:00,desktop,organic_search,SG,35.64,15.520836477708986,4.72
4610,signup,2025-01-01 14:10:00,desktop,organic_search,SG,35.64,15.520836477708986,4.72
76,visit,2025-01-01 14:32:00,desktop,email,IN,67.98,3.8663183101160232,2.69
3652,visit,2025-01-01 14:34:00,tablet,paid_social,AE,82.35,5.8431718140705495,2.95
76,signup,2025-01-01 14:40:00,desktop,email,IN,67.98,3.8663183101160232,2.69
3248,visit,2025-01-01 14:40:00,tablet,organic_search,SG,57.52,3.9276127941641192,2.52
76,begin_checkout,2025-01-01 14:50:00,desktop,email,IN,67.98,3.8663183101160232,2.69
3652,signup,2025-01-01 14:57:00,tablet,paid_social,AE,82.35,5.8431718140705495,2.95
3248,signup,2025-01-01 14:58:00,tablet,organic_search,SG,57.52,3.9276127941641192,2.52
